ID	Name	Type	LifeTime	Height	Speed	ZSpeed	ZAcceleration	CollidRangeW	CollidRangeH	DamageRangeW	DamageRangeH	Param1	Param2	AutoExplode	MoveKind	DamageNumLimit
1	C«n tÊn c«ng	0	2	1	0			5	5	5	5				0	
2	¸m khİ tÊn c«ng b×nh th­êng	0	15	60	50			1	1	1	1				1	
3	§µn cÇm tÊn c«ng b×nh th­êng	0	15	70	50			1	1	1	1				1	
4	Phôc Hæ Khİ C«ng	0	15	60	80			3	3	3	3				1	
5	§µ L«i Ph¸	0	18	10	0			3	3	5	5				0	
6	Cµ Sa Phôc Ma thÇn c«ng	0	15	60	150			7	6	7	6				1	
7	Ngäc N÷ kiÕm ph¸p	0	12	60	60			3	3	1	1				1	
8	Vâ §ang kiÕm ph¸p	0	18	80	60			3	3	1	1				1	
9	L­u Quang kiÕm ph¸p	0	15	80	80			3	3	1	1				1	
10	VŞ ¦¬ng kiÕm ph¸p	0	2	10	0			3	3	3	3				0	
11	Nhu V©n kiÕm ph¸p	0	15	80	80			3	3	1	1				1	
12	LiÖt DiÖm kiÕm ph¸p	0	2	10	0			3	3	3	3				0	
13	B«n L«i KiÕm QuyÕt	0	2	1	0			7	7	7	7				0	
14	Th¸i Thanh kiÕm khİ	0	3	10	0			1	3	1	3				0	
15	Tİch D­¬ng kiÕm khİ	0	15	75	100			3	7	3	7				1	
16	Chİnh L­ìng Nghi kiÕm ph¸p	0	6	75	120			3	5	3	5				1	
17	ThiÕu D­¬ng quyÕt	0	12	75	150			3	7	3	7				1	
18	tÊn c«ng vËt lı ph¹m vi	0	2	60	0			5	5	5	5				0	
19	TÊn c«ng vËt lı xung quanh	0	2	60	0			7	7	7	7				0	
20	Th¸i Êt Tam Thanh kiÕm	0	15	60	90			3	6	3	6				1	
21	ThÇn M«n ThËp Tam KiÕm (®­êng th¼ng)	0	15	70	80			3	3	3	3				1	
22	ThÇn M«n ThËp Tam KiÕm (ngang)	0	3	10	0			1	3	1	3				0	
23	ThÇn M«n ThËp Tam KiÕm (®­êng vßng)	0	15	40	80			17	2	17	2				1	
24	HuyÒn ¢m KiÕm	0	12	10	80			3	7	3	7				1	
25	Thiªn Thanh ThuÇn D­¬ng KiÕm-b¾t ®Çu	0	15	10	90			3	3	3	3				1	
26	Thiªn Thanh ThuÇn D­¬ng KiÕm-kÕt thóc	0	15	10	90			3	3	3	3				1	
27	Thiªn Thanh ThuÇn D­¬ng KiÕm-cuèi cïng	0	15	10	90			3	5	3	5				1	
28	B¸t Qu¸i KiÕm Khİ-ë gi÷a	0	16	10	0			5	5	5	5				0	
29	B¸t Qu¸i KiÕm Khİ-t¶n ra	0	8	10	80			3	3	3	3				1	
30	Ch©n Vò ThÊt TiÖt KiÕm	0	6	10	0			5	5	5	5				0	
31	Truy T©m TiÔn-tiÒn	0	12	60	120			3	3	1	1				1	
32	Truy T©m TiÔn-hËu	0	12	60	120			3	3	1	1				1	
33	B¹o Vò-tiÒn	0	12	60	100			3	3	1	1				1	
34	B¹o Vò-trung	0	12	60	100			3	3	1	1				1	
35	B¹o Vò-hËu	0	12	60	100			3	3	1	1				1	
36	M·n Thiªn Hoa Vò	0	18	10	0			5	5	5	5				0	
37	Tïy ı Khóc	0	12	10	70			3	3	1	1	1			1	
38	§éc Thİch Cèt	1	3240	10	0			3	3	0	0	1			0	
39	TiÔn	0	9	80	60			3	3	1	1				1	
40	§¹i Lùc Kim Cang ChØ	0	2	60	0			7	7	15	15				0	
41	S­ Tö Hèng	0	2	10	0			19	19	19	19				0	
42	BÊt §éng Minh V­¬ng Chó	0	2	10	0			7	7	7	7				0	
43	L­u Quang kiÕm ph¸p xuyªn	0	15	80	80			3	3	3	3				1	
44	Nhu V©n kiÕm ph¸p xuyªn	0	15	80	80			3	3	3	3				1	
45	La H¸n QuyÒn	0	2	60	0			3	3	3	3				0	
46	Vi §µ QuyÒn 1	0	2	60	0			3	3	3	3				0	
47	Vi §µ QuyÒn 2	0	2	60	0			3	3	3	3				0	
48	§¹i Tu Di Ch­ëng	0	2	60	0			3	3	3	3				0	
49	Nhiªn Méc ®ao ph¸p	0	12	60	100			3	3	3	3				1	
50	V« T­íng ThÇn C«ng	0	2	10	0			19	19	19	19			1	0	
51	Phôc Ma ThÇn Th«ng chu vi	0	2	60	0			5	5	6	6			1	0	
52	Phæ TÕ Chóng Sinh	0	18	10	0			15	15	15	15			1	0	
53	PhËt Quang ChiÕn Khİ	0	2	10	0			13	13	13	13			1	0	
54	PhËt ¢m ChiÕn ı	0	2	10	0			13	13	13	13			1	0	
55	V« ¶nh C­íc	0	2	60	0			9	9	9	9			1	0	
56	Tr¶m Ma ®ao ph¸p	0	2	60	0			3	3	3	3				0	
57	Phong Ma c«n ph¸p	0	2	60	0			7	7	7	7				0	
58	V« Th­êng c«n ph¸p	0	3	60	0			7	7	7	7				0	
59	§¹t Ma Vò Kinh	0	2	10	0			5	5	7	7				0	
60	Long Tr¶o tÊn c«ng	0	2	60	0			1	1	1	1				0	
61	B¸ V­¬ng QuyÒn	0	2	60	0			3	3	3	3				0	
62	C©u Hån TÜnh	1	3240	10	0			3	3	5	5	5			0	
63	Xuyªn T©m Thİch	1	3240	10	0			3	3	5	5	9			0	
64	§o¹t Ph¸ch Phiªn	1	3240	10	0			3	3	5	5	13			0	
65	Táa MÖnh Ch©m	1	3240	10	0			3	3	5	5	17			0	
66	Khãi ®éc	0	270	10	0			3	3	5	5				0	
67	Lôc Hîp QuyÒn Ph¸p	0	2	60	0			7	7	7	7				0	
68	tÊn c«ng tóy quyÒn	0	2	1	0			23	23	23	23				0	
69	Khu Xµ c«n ph¸p	0	2	60	0			3	3	3	3				0	
70	§¶ CÈu Bæng Ph¸p	0	2	10	0			7	7	7	7				0	
71	§ao c«ng kİch	0	2	1	0			1	1	1	1				0	
72	KiÕm c«ng kİch	0	2	1	0			1	1	1	1				0	
73	Bót c«ng kİch	0	2	60	0			1	1	1	1				0	
74	QuyÒn c«ng kİch	0	2	1	0			1	1	1	1				0	
75	Ca DiÖp Thèi	0	2	60	0			5	5	5	5				0	
76	V¨n Thï XuÊt V©n Thèi 1	0	2	60	0			5	5	5	5				0	
77	V¨n Thï XuÊt V©n Thèi 2	0	2	60	0			7	7	7	7				0	
78	ThÊt Tinh QuyÕt 1	0	2	60	0			1	1	1	1				0	
79	ThÊt Tinh QuyÕt 2	0	2	60	0			1	1	1	1				0	
80	NguyÖt Thùc khóc	0	2	10	0			23	23	23	23	1		1	0	
81	TÜnh D¹ T­	0	2	10	0			23	23	23	23	5		1	0	
82	D­¬ng Quan Tam §iÖp	0	2	10	0			23	23	23	23	9		1	0	
83	¤ D¹ §Ò	0	2	10	0			23	23	23	23	13		1	0	
84	Mª T©m Phiªu H­¬ng Khóc	0	2	10	0			19	19	19	19	17		1	0	
85	PhÉn CÇm Chö H¹c QuyÕt	0	15	50	80			3	4	3	4				1	
86	Ch©n Vò ThÊt TiÖt KiÕm (gi¶)	0	63	10	0			13	13	13	13				0	
87	Th­îng Thanh V« Cùc C«ng	0	2	1	0			5	7	5	7				0	
88	ThiÕu ¢m QuyÕt	0	2	60	0			1	1	1	1				0	
89	Tµn ¶nh c«ng kİch	0	2	60	0			1	1	1	1				0	
90	Táa HÇu CÇm N· Thñ	0	90	60	0			7	7	7	7				0	
91	B«n L«i kiÕm ph¸p (chiªu)	0	9	10	0			3	3	3	3				0	
92	HuyÒn Vò KiÕm TrËn (chiªu)	0	540	1	0			1	5	1	5				0	
93	Cµn Kh«n QuyÕt-tiÒn	0	2	15	30			3	7	3	7				1	
94	Cµn Kh«n QuyÕt-hËu	0	2	15	30			3	7	3	7				1	
95	HuyÒn ¢m KiÕm (trung t©m)	0	16	1	0	100		5	5	5	5				0	
96	Thiªn La §Şa Vâng	1	3240	10	0			5	5	0	0	17			0	
97	ThËp B¸t §iÖt	0	2	60	0			1	1	1	1				0	
98	Th¸i Tæ Tr­êng QuyÒn	0	2	1	0			1	1	1	1				0	
99	T­îng H×nh QuyÒn Ph¸p	0	2	1	0			1	1	1	1				0	
100	Trung B×nh KiÕm Ph¸p	0	2	60	0			1	1	1	1				0	
101	Khai S¬n c«n ph¸p	0	2	60	0			1	1	1	1				0	
102	To¸i DiÖp Ch©m Ph¸p	0	15	60	50			1	1	1	1				1	
103	Kim Cang Phôc Ma Khuyªn	0	2	10	0			19	19	19	19			1	0	
104	Bİch H¶i TriÒu Sinh Khóc	0	12	60	80			7	3	7	3				1	
105	Ngò Nh¹c QuyÒn	0	2	60	16			5	5	5	5				1	
106	Quı Thiªn §¹i H¹p C«n	0	2	10	0			23	23	23	23				0	
